Date,Open,High,Low,Close,Adj Close,Volume
2009-06-01,5.95,6.23,5.88,6.13,4.134551,111714500
2009-06-02,6.17,6.46,6.03,6.41,4.323403,134751900
2009-06-03,6.3,6.31,5.96,6.18,4.168273999999999,111423600
2009-06-04,6.18,6.4,6.17,6.36,4.289681,83850700
2009-06-05,6.47,6.53,6.22,6.36,4.289681,85658900
2009-06-08,6.21,6.46,6.06,6.38,4.3031690000000005,85590400
2009-06-09,6.38,6.44,6.18,6.26,4.222232,84569400
2009-06-10,6.32,6.43,6.11,6.19,4.17502,90297100
2009-06-11,6.15,6.24,5.75,5.98,4.033378,133040800
2009-06-12,6.01,6.15,5.92,6.11,4.121061,54584200
2009-06-15,6.02,6.04,5.8,5.93,3.999655,65242800
2009-06-16,5.94,5.95,5.52,5.67,3.8242910000000006,87214100
2009-06-17,5.64,5.85,5.3,5.71,3.8512690000000003,87747800
2009-06-18,5.78,5.81,5.52,5.68,3.831036,57600300
2009-06-19,5.73,5.96,5.69,5.72,3.858014,69582800
2009-06-22,5.67,5.79,5.37,5.38,3.628692,57636000
2009-06-23,5.43,5.59,5.21,5.53,3.729864,60592700
2009-06-24,5.66,5.9,5.51,5.63,3.7973120000000002,72264800
2009-06-25,5.57,5.75,5.37,5.68,3.831036,62899600
2009-06-26,5.65,5.8,5.55,5.61,3.783821,68304000
2009-06-29,5.66,5.96,5.6,5.78,3.898482,73552300
2009-06-30,5.96,6.16,5.86,6.07,4.094081,85531400
2009-07-01,6.12,6.25,5.89,5.91,3.986164,95888300
2009-07-02,5.83,6.08,5.55,5.89,3.9726760000000003,73694800
2009-07-06,5.87,6.05,5.68,5.75,3.878249,73705200
2009-07-07,5.74,5.75,5.51,5.53,3.729864,68322000
2009-07-08,5.55,5.61,5.24,5.35,3.608457,67379800
2009-07-09,5.46,5.76,5.32,5.63,3.7973120000000002,60243600
2009-07-10,5.53,5.75,5.52,5.72,3.858014,47272700
2009-07-13,5.72,5.74,5.51,5.69,3.8377809999999997,46062800
2009-07-14,5.69,5.89,5.6,5.84,3.9389529999999997,56107600
2009-07-15,5.98,6.06,5.91,6.05,4.080591,64814100
2009-07-16,5.98,6.14,5.84,6.13,4.134551,66541300
2009-07-17,6.15,6.22,6.03,6.14,4.1412949999999995,62832200
2009-07-20,6.2,6.3,6.13,6.19,4.17502,64037800
2009-07-21,6.28,6.3,6.04,6.2,4.181763,57398800
2009-07-22,6.17,6.48,6.13,6.38,4.3031690000000005,91813000
2009-07-23,6.94,7.1,6.65,6.98,4.707857,269099700
2009-07-24,6.9,6.92,6.7,6.78,4.57296,99700500
2009-07-27,6.83,7.29,6.72,7.27,4.903455999999999,104647700
2009-07-28,7.2,7.28,7.05,7.14,4.815772,68800900
2009-07-29,7.08,7.32,6.99,7.12,4.802283999999999,74129700
2009-07-30,7.28,7.48,7.18,7.39,4.984392,88741000
2009-07-31,7.46,8.0,7.43,8.0,5.395823,156355300
2009-08-03,8.65,8.86,8.3,8.33,5.618403,246431700
