Date,Open,High,Low,Close,Adj Close,Volume
2009-06-01,14.465,14.9875,14.39,14.815,12.654574,17614400
2009-06-02,14.7475,14.83,14.4375,14.4575,12.349208,18942400
2009-06-03,14.3475,14.555,14.2,14.5425,12.421814,14018400
2009-06-04,14.535,14.535,14.1575,14.385,12.34032,13098000
2009-06-05,14.65,14.78,14.4875,14.5725,12.501167,16451200
2009-06-08,14.53,14.655,14.3175,14.5,12.438972,10683200
2009-06-09,14.4975,14.7375,14.41,14.665,12.580519,9716400
2009-06-10,14.7175,14.765,14.0625,14.2625,12.235231,23840000
2009-06-11,14.29,14.4725,14.1425,14.155,12.143006,15452000
2009-06-12,14.105,14.2475,13.9125,14.1525,12.140864,15486400
2009-06-15,14.0975,14.1175,13.8525,13.985,11.997169,12912800
2009-06-16,13.9875,14.1875,13.785,13.8325,11.866353,9774000
2009-06-17,13.7875,13.8825,13.5975,13.6575,11.716225999999999,13586400
2009-06-18,13.8,14.3575,13.675,14.075,12.07438,17699600
2009-06-19,14.2075,14.49,14.1325,14.175,12.160169999999999,15353200
2009-06-22,14.05,14.05,13.7775,13.815,11.851336,12300000
2009-06-23,13.8025,13.815,13.3375,13.385,11.482461,16074000
2009-06-24,13.4875,13.59,13.19,13.255,11.370938,20202000
2009-06-25,12.6625,12.8925,12.54,12.82,10.997765,59606800
2009-06-26,12.685,12.8425,12.6275,12.71,10.9034,21366800
2009-06-29,12.7875,13.04,12.7,12.9375,11.098567,13824800
2009-06-30,12.965,13.12,12.82,12.945,11.104998,11700400
2009-07-01,13.035,13.2475,12.8375,13.105,11.242253,12364800
2009-07-02,12.9425,12.9575,12.765,12.765,10.950583,15326400
2009-07-06,12.685,13.075,12.685,12.9775,11.132878,14878800
2009-07-07,12.925,12.9625,12.7225,12.8025,10.982750999999999,12185600
2009-07-08,12.7475,12.9275,12.6875,12.8775,11.047094,10413600
2009-07-09,12.965,12.965,12.6925,12.765,10.950583,8537600
2009-07-10,12.6675,12.9475,12.655,12.825,11.002053,9436000
2009-07-13,12.865,12.9775,12.7025,12.885,11.05353,12468800
2009-07-14,12.8725,13.0725,12.8025,12.975,11.130733,8017200
2009-07-15,13.0875,13.2475,12.83,13.2325,11.351637,15544400
2009-07-16,13.195,13.37,13.0,13.2975,11.407392999999999,13356000
2009-07-17,13.2875,13.2875,12.995,13.11,11.246542999999999,13101200
2009-07-20,13.1475,13.31,13.0225,13.2075,11.330186999999999,10645600
2009-07-21,13.3575,13.36,12.92,13.0175,11.167193,11007200
2009-07-22,13.0,13.1075,12.855,12.8825,11.051383,14300800
2009-07-23,12.875,13.02,12.75,12.785,10.967742999999999,21532800
2009-07-24,12.7775,13.105,12.6475,13.0425,11.188641,14730800
2009-07-27,13.0525,13.1,12.91,13.0925,11.231531,6276400
2009-07-28,12.995,13.235,12.8575,13.2275,11.347347000000001,10552800
2009-07-29,13.125,13.625,13.09,13.5925,11.660461999999999,21214800
2009-07-30,13.7325,14.1325,13.645,14.0225,12.029346,20059600
2009-07-31,13.9175,14.4425,13.89,14.16,12.147299,21796800
2009-08-03,14.245,14.27,14.06,14.155,12.143006,13509600
2009-08-04,14.115,14.3925,14.0375,14.385,12.34032,14842800
2009-08-05,14.385,14.5425,14.1825,14.255,12.228796,16333200
2009-08-06,14.3125,14.45,14.205,14.405,12.357476,14561200
2009-08-07,14.49,14.5675,14.2825,14.5175,12.453985000000001,11448000
2009-08-10,14.4675,14.4675,14.1775,14.285,12.254531,9543600
2009-08-11,14.23,14.2725,14.005,14.1975,12.179471000000001,7614400
2009-08-12,14.15,14.475,14.105,14.38,12.336029,12197200
2009-08-13,14.345,14.4575,14.245,14.4525,12.398225,8377600
2009-08-14,14.415,14.5,14.075,14.215,12.194483,9124800
2009-08-17,14.0175,14.115,13.7925,13.86,11.889941,10980800
