Date,Open,High,Low,Close,Adj Close,Volume
2009-06-01,0.14,0.145,0.05,0.085,0.085,0
2009-06-02,0.125,0.13,0.075,0.13,0.13,0
2009-06-03,0.13,0.13,0.115,0.13,0.13,0
2009-06-04,0.125,0.14,0.12,0.135,0.135,0
2009-06-05,0.15,0.18,0.135,0.18,0.18,0
2009-06-08,0.17,0.175,0.11,0.17,0.17,0
2009-06-09,0.175,0.18,0.15,0.175,0.175,0
2009-06-10,0.175,0.175,0.17,0.175,0.175,0
2009-06-11,0.17,0.175,0.16,0.17,0.17,0
2009-06-12,0.16,0.17,0.16,0.165,0.165,0
2009-06-15,0.16,0.165,0.145,0.155,0.155,0
2009-06-16,0.16,0.175,0.155,0.165,0.165,0
2009-06-17,0.185,0.185,0.15,0.165,0.165,0
2009-06-18,0.175,0.185,0.16,0.17,0.17,0
2009-06-19,0.175,0.175,0.17,0.17,0.17,0
2009-06-22,0.165,0.19,0.165,0.185,0.185,0
2009-06-23,0.195,0.21,0.185,0.195,0.195,0
2009-06-24,0.19,0.195,0.175,0.18,0.18,0
2009-06-25,0.17,0.18,0.16,0.165,0.165,0
2009-06-26,0.16,0.185,0.16,0.175,0.175,0
2009-06-29,0.2,0.2,0.16,0.16,0.16,0
2009-06-30,0.185,0.19,0.175,0.18,0.18,0
2009-07-01,0.175,0.18,0.15,0.165,0.165,0
2009-07-02,0.16,0.165,0.135,0.155,0.155,0
2009-07-06,0.155,0.155,0.12,0.155,0.155,0
2009-07-07,0.18,0.185,0.15,0.18,0.18,0
2009-07-08,0.175,0.18,0.175,0.175,0.175,0
2009-07-09,0.175,0.18,0.175,0.175,0.175,0
2009-07-10,0.175,0.18,0.165,0.165,0.165,0
2009-07-13,0.17,0.18,0.165,0.17,0.17,0
2009-07-14,0.18,0.18,0.17,0.175,0.175,0
2009-07-15,0.175,0.18,0.17,0.175,0.175,0
2009-07-16,0.17,0.175,0.165,0.165,0.165,0
2009-07-17,0.165,0.17,0.165,0.165,0.165,0
2009-07-20,0.17,0.17,0.16,0.16,0.16,0
2009-07-21,0.185,0.185,0.165,0.18,0.18,0
2009-07-22,0.18,0.18,0.175,0.18,0.18,0
2009-07-23,0.175,0.18,0.175,0.18,0.18,0
2009-07-24,0.18,0.185,0.18,0.18,0.18,0
2009-07-27,0.18,0.185,0.175,0.18,0.18,0
2009-07-28,0.185,0.185,0.18,0.185,0.185,0
2009-07-29,0.18,0.185,0.175,0.175,0.175,0
2009-07-30,0.175,0.18,0.17,0.175,0.175,0
2009-07-31,0.17,0.175,0.17,0.175,0.175,0
2009-08-03,0.175,0.18,0.17,0.175,0.175,0
2009-08-04,0.175,0.18,0.175,0.175,0.175,0
2009-08-05,0.175,0.18,0.165,0.175,0.175,0
2009-08-06,0.175,0.175,0.165,0.17,0.17,0
2009-08-07,0.165,0.175,0.16,0.17,0.17,0
2009-08-10,0.165,0.17,0.155,0.16,0.16,0
2009-08-11,0.175,0.18,0.15,0.18,0.18,0
2009-08-12,0.175,0.175,0.17,0.17,0.17,0
2009-08-13,0.17,0.17,0.165,0.165,0.165,0
2009-08-14,0.17,0.17,0.165,0.17,0.17,0
2009-08-17,0.165,0.175,0.16,0.17,0.17,0
2009-08-18,0.175,0.18,0.17,0.175,0.175,0
2009-08-19,0.17,0.175,0.165,0.165,0.165,0
2009-08-20,0.16,0.165,0.16,0.16,0.16,0
2009-08-21,0.16,0.165,0.155,0.16,0.16,0
2009-08-24,0.16,0.16,0.15,0.155,0.155,0
2009-08-25,0.16,0.165,0.15,0.155,0.155,0
2009-08-26,0.15,0.155,0.135,0.145,0.145,0
2009-08-27,0.14,0.145,0.14,0.14,0.14,0
2009-08-28,0.14,0.14,0.1,0.13,0.13,0
2009-08-31,0.14,0.14,0.125,0.13,0.13,0
2009-09-01,0.145,0.145,0.125,0.13,0.13,0
2009-09-02,0.135,0.135,0.125,0.13,0.13,0
2009-09-03,0.13,0.13,0.115,0.125,0.125,0
2009-09-04,0.13,0.13,0.125,0.125,0.125,0
2009-09-08,0.13,0.13,0.125,0.125,0.125,0
2009-09-09,0.14,0.14,0.125,0.135,0.135,0
2009-09-10,0.135,0.14,0.13,0.135,0.135,0
2009-09-11,0.14,0.14,0.13,0.135,0.135,0
2009-09-14,0.135,0.135,0.13,0.13,0.13,0
2009-09-15,0.13,0.14,0.12,0.125,0.125,0
2009-09-16,0.085,0.125,0.085,0.095,0.095,0
2009-09-17,0.1,0.11,0.09,0.095,0.095,0
2009-09-18,0.085,0.09,0.065,0.08,0.08,0
2009-09-21,0.08,0.09,0.075,0.09,0.09,0
2009-09-22,0.095,0.105,0.085,0.095,0.095,0
2009-09-23,0.095,0.11,0.08,0.095,0.095,0
2009-09-24,0.09,0.095,0.085,0.09,0.09,0
2009-09-25,0.09,0.095,0.085,0.09,0.09,0
2009-09-28,0.095,0.1,0.085,0.09,0.09,0
2009-09-29,0.1,0.125,0.09,0.12,0.12,0
2009-09-30,0.125,0.135,0.11,0.115,0.115,0
2009-10-01,0.095,0.11,0.095,0.095,0.095,0
2009-10-02,0.095,0.1,0.08,0.09,0.09,0
2009-10-05,0.085,0.095,0.08,0.09,0.09,0
2009-10-06,0.075,0.09,0.065,0.07,0.07,0
2009-10-07,0.07,0.07,0.045,0.06,0.06,0
2009-10-08,0.06,0.065,0.06,0.06,0.06,0
2009-10-09,0.06,0.07,0.06,0.065,0.065,0
2009-10-12,0.06,0.06,0.06,0.06,0.06,0
2009-10-13,0.06,0.065,0.06,0.06,0.06,0
2009-10-14,0.07,0.075,0.06,0.065,0.065,0
2009-10-15,0.065,0.07,0.055,0.055,0.055,0
2009-10-16,0.055,0.065,0.045,0.06,0.06,0
2009-10-19,0.065,0.065,0.055,0.06,0.06,0
2009-10-20,0.075,0.08,0.06,0.075,0.075,0
2009-10-21,0.075,0.075,0.06,0.065,0.065,0
2009-10-22,0.06,0.065,0.04,0.05,0.05,0
2009-10-23,0.05,0.055,0.045,0.05,0.05,0
2009-10-26,0.05,0.055,0.05,0.05,0.05,0
2009-10-27,0.07,0.075,0.045,0.07,0.07,0
2009-10-28,0.065,0.07,0.06,0.06,0.06,0
2009-10-29,0.06,0.06,0.05,0.05,0.05,0
2009-10-30,0.05,0.055,0.045,0.045,0.045,0
2009-11-02,0.055,0.055,0.035,0.04,0.04,0
2009-11-03,0.055,0.055,0.04,0.05,0.05,0
2009-11-04,0.045,0.055,0.04,0.045,0.045,0
2009-11-05,0.04,0.05,0.035,0.035,0.035,0
2009-11-06,0.04,0.06,0.04,0.045,0.045,0
2009-11-09,0.05,0.05,0.04,0.045,0.045,0
2009-11-10,0.06,0.065,0.06,0.06,0.06,0
2009-11-11,0.06,0.06,0.06,0.06,0.06,0
2009-11-12,0.055,0.06,0.055,0.055,0.055,0
2009-11-13,0.055,0.06,0.055,0.055,0.055,0
2009-11-16,0.06,0.06,0.05,0.055,0.055,0
2009-11-17,0.055,0.06,0.045,0.055,0.055,0
2009-11-18,0.05,0.05,0.025,0.03,0.03,0
2009-11-19,0.02,0.02,0.005,0.005,0.005,0
2009-11-20,0.015,0.015,0.005,0.01,0.01,0
2009-11-23,0.02,0.025,0.005,0.02,0.02,0
2009-11-24,0.035,0.045,0.035,0.04,0.04,0
2009-11-25,0.04,0.045,0.04,0.04,0.04,0
2009-11-27,0.03,0.035,0.01,0.025,0.025,0
2009-11-30,0.04,0.05,0.02,0.05,0.05,0
2009-12-01,0.055,0.055,0.05,0.05,0.05,0
2009-12-02,0.05,0.05,0.04,0.04,0.04,0
2009-12-03,0.045,0.05,0.04,0.04,0.04,0
2009-12-04,0.04,0.05,0.035,0.04,0.04,0
2009-12-07,0.045,0.045,0.01,0.015,0.015,0
2009-12-08,0.02,0.025,0.02,0.025,0.025,0
2009-12-09,0.025,0.03,0.02,0.025,0.025,0
2009-12-10,0.02,0.03,0.02,0.025,0.025,0
2009-12-11,0.02,0.025,0.02,0.02,0.02,0
2009-12-14,0.02,0.025,0.02,0.02,0.02,0
2009-12-15,0.04,0.045,0.04,0.04,0.04,0
2009-12-16,0.035,0.04,0.03,0.035,0.035,0
2009-12-17,0.035,0.045,0.035,0.04,0.04,0
2009-12-18,0.035,0.04,0.035,0.04,0.04,0
2009-12-21,0.04,0.05,0.04,0.045,0.045,0
2009-12-22,0.07,0.075,0.07,0.07,0.07,0
2009-12-23,0.065,0.07,0.055,0.055,0.055,0
2009-12-24,0.045,0.05,0.04,0.04,0.04,0
2009-12-28,0.05,0.06,0.04,0.055,0.055,0
2009-12-29,0.105,0.11,0.06,0.095,0.095,0
2009-12-30,0.09,0.09,0.04,0.04,0.04,0
2009-12-31,0.06,0.07,0.035,0.05,0.05,0
2010-01-04,0.08,0.08,0.055,0.055,0.055,0
2010-01-05,0.06,0.065,0.04,0.06,0.06,0
2010-01-06,0.06,0.06,0.045,0.045,0.045,0
2010-01-07,0.045,0.055,0.04,0.045,0.045,0
2010-01-08,0.045,0.045,0.035,0.04,0.04,0
2010-01-11,0.04,0.04,0.015,0.025,0.025,0
2010-01-12,0.035,0.04,0.03,0.04,0.04,0
2010-01-13,0.04,0.05,0.04,0.05,0.05,0
2010-01-14,0.045,0.055,0.04,0.045,0.045,0
2010-01-15,0.05,0.065,0.045,0.055,0.055,0
2010-01-19,0.055,0.06,0.045,0.05,0.05,0
2010-01-20,0.05,0.05,0.045,0.05,0.05,0
2010-01-21,0.05,0.05,0.04,0.04,0.04,0
2010-01-22,0.045,0.045,0.045,0.045,0.045,0
2010-01-25,0.045,0.08,0.04,0.045,0.045,0
2010-01-26,0.055,0.07,0.045,0.065,0.065,0
2010-01-27,0.06,0.075,0.055,0.07,0.07,0
2010-01-28,0.075,0.08,0.065,0.07,0.07,0
2010-01-29,0.07,0.075,0.06,0.07,0.07,0
2010-02-01,0.06,0.09,0.06,0.085,0.085,0
2010-02-02,0.09,0.095,0.09,0.09,0.09,0
2010-02-03,0.09,0.1,0.09,0.09,0.09,0
