Date,Open,High,Low,Close,Adj Close,Volume
2009-01-13,10.07,10.08,9.99,10.02,7.36607,19808197.0
2009-01-14,10.03,10.25,10.01,10.24,7.527799000000001,20320235.0
2009-01-15,10.19,10.27,10.04,10.13,7.446934,29166576.0
2009-01-16,10.16,10.44,10.15,10.32,7.586608999999999,43613011.0
2009-01-19,10.35,10.7,10.35,10.57,7.7703940000000005,55792399.0
2009-01-20,10.51,10.59,10.35,10.53,7.740985,22453987.0
2009-01-21,10.43,10.55,10.38,10.5,7.718935000000001,20318429.0
2009-01-22,10.54,10.58,10.42,10.5,7.718935000000001,21450042.0
2009-01-23,10.48,10.49,10.34,10.37,7.623365,27069024.0
2009-02-02,10.43,10.45,10.23,10.35,7.608664,20267054.0
2009-02-03,10.35,10.58,10.28,10.57,7.7703940000000005,39878066.0
2009-02-04,10.6,10.83,10.58,10.75,7.902719,52673589.0
2009-02-05,10.77,10.94,10.62,10.69,7.858612,58047735.0
2009-02-06,10.69,11.2,10.68,11.19,8.226175999999999,83361319.0
2009-02-09,11.35,11.5,11.23,11.32,8.321747,98818644.0
2009-02-10,11.35,11.89,11.2,11.87,8.726072,116030152.0
2009-02-11,11.7,12.0,11.5,11.61,8.534937,110614936.0
2009-02-12,11.62,11.75,11.31,11.47,8.432017,67099155.0
2009-02-13,11.4,11.75,11.38,11.74,8.630503,74840900.0
2009-02-16,11.79,12.18,11.79,12.16,8.93926,110528917.0
2009-02-17,12.18,12.45,11.81,11.82,8.689314,90668161.0
2009-02-18,11.65,11.68,11.22,11.24,8.262936999999999,74623572.0
2009-02-19,11.26,11.42,11.1,11.34,8.336451,49886537.0
2009-02-20,11.48,11.54,11.2,11.38,8.365853999999999,53670262.0
2009-02-23,11.33,11.5,11.06,11.43,8.402613,69901155.0
2009-02-24,11.29,11.34,10.91,10.96,8.057097,73067424.0
2009-02-25,11.03,11.1,10.74,10.96,8.057097,44392265.0
2009-02-26,10.96,11.26,10.69,10.79,7.932124000000001,63903050.0
2009-02-27,10.77,10.9,10.55,10.79,7.932124000000001,52525992.0
2009-03-02,10.69,10.81,10.59,10.72,7.880664,29279432.0
2009-03-03,10.57,10.66,10.49,10.56,7.763043,25779655.0
2009-03-04,10.6,11.06,10.58,11.02,8.101207,52545987.0
2009-03-05,11.11,11.18,10.87,11.04,8.115909,66494488.0
2009-03-06,10.89,10.97,10.77,10.83,7.961529,34916413.0
2009-03-09,10.9,11.0,10.58,10.59,7.785098,35961920.0
2009-03-10,10.56,10.8,10.49,10.79,7.932124000000001,28790330.0
2009-03-11,10.96,10.97,10.67,10.69,7.858612,25117684.0
2009-03-12,10.64,10.65,10.5,10.62,7.807149000000001,29839316.0
2009-03-13,10.69,10.73,10.58,10.61,7.7998,23006248.0
2009-03-16,10.61,10.71,10.6,10.66,7.836556,19038200.0
2009-03-17,10.68,10.94,10.68,10.9,8.012989,38999521.0
2009-03-18,10.95,11.13,10.9,10.91,8.020341,53681775.0
2009-03-19,10.92,11.09,10.9,11.04,8.115909,43747113.0
2009-03-20,11.12,11.69,11.11,11.57,8.505531,161776054.0
2009-03-23,11.63,11.68,11.5,11.66,8.571692,82812063.0
2009-03-24,11.85,12.07,11.72,11.77,8.652559,101879549.0
2009-03-25,11.88,12.03,11.56,11.57,8.505531,80906725.0
2009-03-26,11.5,11.68,11.31,11.67,8.579042,58511453.0
2009-03-27,11.77,11.9,11.67,11.73,8.623151,74775702.0
2009-03-30,11.72,11.72,11.43,11.49,8.446717999999999,44776483.0
2009-03-31,11.31,11.47,11.18,11.41,8.387906,40661707.0
2009-04-01,11.43,11.62,11.4,11.55,8.490829,43346341.0
2009-04-02,11.58,11.72,11.54,11.57,8.505531,53187215.0
2009-04-03,11.73,11.85,11.53,11.58,8.512879,70467718.0
2009-04-07,11.59,11.73,11.55,11.66,8.571692,35276708.0
2009-04-08,11.65,11.65,11.2,11.22,8.248233,50164945.0
2009-04-09,11.22,11.31,11.14,11.29,8.299692,31716975.0
2009-04-10,11.38,11.56,11.31,11.48,8.439366999999999,43866123.0
2009-04-13,11.58,11.99,11.51,11.94,8.777529,117229448.0
2009-04-14,11.94,11.95,11.74,11.89,8.740774,65582656.0
2009-04-15,11.81,12.0,11.74,11.89,8.740774,57717496.0
2009-04-16,11.98,12.02,11.7,11.81,8.681964,55088408.0
2009-04-17,11.75,11.86,11.6,11.67,8.579042,47601530.0
2009-04-20,11.67,11.95,11.64,11.93,8.770178999999999,57599215.0
2009-04-21,11.78,11.95,11.7,11.83,8.696663000000001,54038772.0
2009-04-22,11.91,12.18,11.69,11.71,8.608448,113682131.0
2009-04-23,11.6,11.67,11.46,11.59,8.520232,49590204.0
2009-04-24,11.7,11.74,11.53,11.58,8.512879,33145897.0
2009-04-27,11.58,11.85,11.54,11.72,8.615801,56299413.0
2009-04-28,11.54,11.58,11.35,11.46,8.424665,42207157.0
2009-04-29,11.43,11.66,11.39,11.6,8.527585,39506750.0
2009-04-30,11.65,11.67,11.49,11.57,8.505531,34146425.0
2009-05-04,11.62,11.95,11.61,11.94,8.777529,69798494.0
2009-05-05,12.05,12.16,11.92,11.95,8.784883,78354642.0
2009-05-06,11.95,11.98,11.85,11.95,8.784883,54137314.0
2009-05-07,12.11,12.18,11.99,12.08,8.88045,89621125.0
2009-05-08,12.08,12.45,12.01,12.41,9.123047999999999,113767328.0
2009-05-11,12.65,12.99,12.5,12.53,9.211260000000001,157505068.0
2009-05-12,12.53,12.53,12.53,12.53,9.211260000000001,0.0
2009-05-13,12.8,13.4,12.69,13.29,9.769965,146621155.0
2009-05-14,13.1,13.21,12.91,13.11,9.637641,106557745.0
2009-05-15,13.16,13.24,13.01,13.17,9.681747999999999,52831889.0
2009-05-18,13.06,13.06,12.74,12.97,9.534721000000001,60438675.0
2009-05-19,13.21,13.34,13.05,13.15,9.667046000000001,56304288.0
2009-05-20,13.18,13.35,13.03,13.07,9.608234,43243573.0
2009-05-21,13.05,13.46,13.01,13.17,9.681747999999999,83276253.0
2009-05-22,13.04,13.21,12.7,12.86,9.453856,68508442.0
2009-05-25,12.8,13.25,12.55,13.1,9.630288,76931128.0
2009-05-26,13.18,13.2,12.99,13.09,9.622939,39373226.0
2009-05-27,13.2,13.68,13.13,13.66,10.041965,118500526.0
2009-06-01,13.86,14.35,13.86,14.17,10.532175,136828476.0
2009-06-02,14.3,14.55,14.06,14.23,10.576773,98264738.0
2009-06-03,14.18,14.45,14.1,14.39,10.695698,69144598.0
2009-06-04,14.13,14.35,14.02,14.15,10.517311999999999,81958411.0
2009-06-05,14.39,14.44,14.1,14.14,10.509878,53362304.0
2009-06-08,14.15,14.25,13.96,14.07,10.457849000000001,56458164.0
2009-06-09,14.08,14.26,13.9,14.17,10.532175,44169934.0
2009-06-10,14.3,14.38,14.15,14.28,10.613936,52760542.0
2009-06-11,14.29,14.3,14.14,14.15,10.517311999999999,39044645.0
2009-06-12,14.18,14.33,13.8,13.89,10.324059,64616700.0
2009-06-15,13.89,13.94,13.69,13.92,10.346357000000001,45589200.0
2009-06-16,13.8,14.04,13.69,13.78,10.242303999999999,48063551.0
2009-06-17,13.75,13.91,13.49,13.88,10.316628,78267040.0
2009-06-18,13.85,14.1,13.8,14.04,10.435552000000001,68033220.0
2009-06-19,14.07,14.15,13.92,14.12,10.495014,48123243.0
2009-06-22,14.16,14.35,14.1,14.24,10.584207000000001,66796947.0
2009-06-23,14.0,14.06,13.75,13.88,10.316628,76015377.0
2009-06-24,13.86,14.1,13.85,14.06,10.450417999999999,50222463.0
2009-06-25,14.1,14.25,14.0,14.04,10.435552000000001,43396265.0
2009-06-26,14.09,14.15,13.89,13.99,10.398387,38565494.0
2009-06-29,13.98,14.51,13.86,14.44,10.73286,101552228.0
2009-06-30,14.6,14.85,14.42,14.48,10.762589,108637159.0
2009-07-01,14.54,14.62,14.35,14.58,10.836917999999999,80411590.0
2009-07-02,14.6,15.1,14.58,15.06,11.193689,126389190.0
2009-07-03,14.96,15.12,14.8,15.09,11.215987,89137266.0
2009-07-06,15.05,15.35,14.9,15.16,11.268017,90705707.0
2009-07-07,15.1,15.1,14.75,14.82,11.015305,86252519.0
2009-07-08,14.65,14.8,14.38,14.59,10.844351,75750041.0
2009-07-09,14.55,14.74,14.36,14.66,10.89638,79663698.0
2009-07-10,14.66,14.7,14.47,14.56,10.822054,54477619.0
2009-07-13,14.5,14.57,14.4,14.43,10.725427,50588908.0
2009-07-14,14.43,14.66,14.43,14.52,10.792323,69085588.0
2009-07-15,14.58,14.88,14.58,14.85,11.037604,90907597.0
2009-07-16,14.95,15.01,14.71,14.74,10.955844,75252964.0
2009-07-17,14.71,14.78,14.48,14.59,10.844351,66762833.0
2009-07-20,14.69,15.0,14.56,14.99,11.141663000000001,107470943.0
2009-07-21,14.99,15.03,14.66,14.67,10.903814,88278269.0
2009-07-22,14.67,15.66,14.65,15.45,11.483564,193145175.0
2009-07-23,15.41,15.58,15.21,15.35,11.409238,101225583.0
2009-07-24,15.45,16.549999,15.37,16.18,12.026154,212770188.0
2009-07-27,16.17,16.52,16.02,16.379998999999998,12.174809,116218316.0
2009-07-28,16.379998999999998,16.389999,16.01,16.190001000000002,12.03359,88723781.0
2009-07-29,16.01,16.370001000000002,14.98,15.22,11.312614,140803417.0
2009-07-30,15.16,15.39,14.89,15.29,11.364642,88775242.0
2009-07-31,15.5,15.81,15.4,15.73,11.691682,82009027.0
2009-08-03,15.85,16.16,15.73,15.98,11.8775,67465500.0
2009-08-04,16.110001,16.34,15.8,16.01,11.899797999999999,71661494.0
2009-08-05,16.110001,16.34,15.8,16.01,11.899797999999999,71661496.0
2009-08-06,15.64,15.67,15.2,15.41,11.453836,52739280.0
2009-08-07,15.43,15.5,14.94,15.0,11.149096,69502492.0
2009-08-10,15.1,15.17,14.66,14.84,11.030169,59293417.0
2009-08-11,14.9,14.96,14.69,14.89,11.067332,42002796.0
2009-08-12,14.87,14.87,14.0,14.14,10.509878,68773308.0
2009-08-13,14.13,14.28,13.92,14.24,10.584207000000001,52484475.0
2009-08-14,14.26,14.27,13.8,13.94,10.361222999999999,49135052.0
2009-08-17,13.7,13.7,13.03,13.09,9.729442,78272151.0
2009-08-18,13.02,13.34,13.01,13.3,9.885529,46886440.0
2009-08-19,13.02,13.34,13.01,13.3,9.885529,46886440.0
2009-08-20,13.2,13.95,13.19,13.88,10.316628,81609357.0
2009-08-21,13.8,14.03,13.65,13.97,10.383523,58313876.0
2009-08-24,13.8,14.03,13.65,13.97,10.383523,58313876.0
2009-08-25,14.2,14.3,13.57,14.22,10.569344000000001,62000187.0
2009-08-26,14.0,14.5,13.91,14.39,10.695698,52952382.0
2009-08-27,14.21,14.29,13.94,14.0,10.405819000000001,41202677.0
2009-08-28,13.89,14.0,13.59,13.72,10.197705000000001,44522612.0
2009-08-31,13.5,13.5,12.71,12.8,9.513893,56019903.0
2009-09-01,12.8,13.07,12.58,12.86,9.558488,30353234.0
2009-09-02,13.06,13.22,12.8,12.98,9.647683,37088790.0
2009-09-03,12.97,13.46,12.92,13.39,9.952423,45911444.0
2009-09-04,13.35,13.44,13.18,13.38,9.944992,44004200.0
2009-09-07,13.39,13.53,13.31,13.36,9.930126,36268844.0
2009-09-08,13.28,13.43,13.1,13.41,9.967291000000001,27965428.0
2009-09-09,13.55,13.67,13.35,13.48,10.019319,35912284.0
2009-09-10,13.45,13.52,13.32,13.4,9.959856,21608822.0
2009-09-11,13.4,13.7,13.35,13.64,10.138241,43590047.0
2009-09-14,13.58,13.79,13.48,13.71,10.190273,37606453.0
2009-09-15,13.72,13.77,13.53,13.71,10.190273,34295932.0
2009-09-16,13.76,13.76,13.46,13.63,10.130811999999999,35208162.0
2009-09-17,13.64,13.83,13.57,13.76,10.321465,37848293.0
2009-09-18,13.76,13.86,13.35,13.41,10.058929,36840694.0
2009-09-21,13.42,13.43,12.99,13.28,9.961411,29638507.0
2009-09-22,13.25,13.39,12.95,12.99,9.743883,35715156.0
2009-09-23,13.01,13.16,12.68,12.77,9.578859,36793845.0
2009-09-24,12.65,13.08,12.61,12.9,9.676372,28315012.0
2009-09-25,12.88,12.99,12.76,12.85,9.638867999999999,17258124.0
2009-09-28,12.87,12.95,12.6,12.62,9.466342,19024007.0
2009-09-29,12.63,12.71,12.5,12.57,9.428838,18429567.0
2009-09-30,12.66,12.77,12.57,12.7,9.52635,16981090.0
2009-10-09,12.91,13.2,12.89,13.17,9.8789,34019141.0
2009-10-12,13.18,13.2,12.97,12.98,9.736382,17125659.0
2009-10-13,12.98,13.15,12.96,13.12,9.841394000000001,19427647.0
2009-10-14,13.18,13.65,13.15,13.31,9.983918,53850075.0
2009-10-15,13.5,13.58,13.35,13.45,10.088928999999998,29527861.0
2009-10-16,13.62,13.75,13.28,13.46,10.096430999999999,41047131.0
2009-10-19,13.5,13.65,13.39,13.6,10.201447,31619575.0
2009-10-20,13.72,13.82,13.68,13.8,10.351467,41050206.0
2009-10-21,13.81,13.84,13.68,13.69,10.268958,35698903.0
2009-10-22,13.77,13.83,13.54,13.58,10.186444999999999,31287598.0
